"Date","Flow Rate","Quality code","Quality code description"
"2018-02-22 09:00","9604.611","3",""
"2018-02-23 09:00","9174.332","3",""
"2018-02-24 09:00","8841.399","3",""
"2018-02-25 09:00","8878.138","3",""
"2018-02-26 09:00","9708.339","3",""
"2018-02-27 09:00","9244.52","3",""
"2018-02-28 09:00","8847.519","3",""
"2018-03-01 09:00","7825.406","3",""
"2018-03-02 09:00","7609.942","3",""
"2018-03-03 09:00","7351.488","3",""
"2018-03-04 09:00","7262.206","3",""
"2018-03-05 09:00","7212.125","3",""
"2018-03-06 09:00","7145.509","3",""
"2018-03-07 09:00","7106.733","3",""
"2018-03-08 09:00","6687.968","5",""
"2018-03-09 09:00","6465.235","5",""
"2018-03-10 09:00","6425.489","5",""
"2018-03-11 09:00","6400.676","5",""
"2018-03-12 09:00","6490.106","5",""
"2018-03-13 09:00","6662.345","5",""
"2018-03-14 09:00","6672.591","5",""
"2018-03-15 09:00","6662.345","5",""
"2018-03-16 09:00","6636.747","5",""
"2018-03-17 09:00","6311.533","5",""
"2018-03-18 09:00","6247.333","5",""
"2018-03-19 09:00","6252.266","5",""
"2018-03-20 09:00","6055.644","5",""
"2018-03-21 09:00","6045.851","5",""
"2018-03-22 09:00","5254.979","5",""
"2018-03-23 09:00","4337.802","5",""
"2018-03-24 09:00","4566.253","5",""
"2018-03-25 09:00","3991.358","5",""
"2018-03-26 09:00","3467.442","5",""
"2018-03-27 09:00","3323.553","5",""
"2018-03-28 09:00","3318.588","5",""
"2018-03-29 09:00","3615.347","5",""
"2018-03-30 09:00","3594.051","5",""
"2018-03-31 09:00","3535.775","5",""
"2018-04-01 09:00","3493.655","5",""
"2018-04-02 09:00","3278.977","5",""
"2018-04-03 09:00","3205.245","5",""
"2018-04-04 09:00","3190.584","5",""
"2018-04-05 09:00","3180.825","5",""
"2018-04-06 09:00","2851.885","5",""
"2018-04-07 09:00","2679.208","5",""
"2018-04-08 09:00","3175.95","5",""
"2018-04-09 09:00","3384.147","5",""
"2018-04-10 09:00","3415.278","5",""
"2018-04-11 09:00","3771.388","5",""
"2018-04-12 09:00","3842.277","5",""
"2018-04-13 09:00","3820.403","5",""
"2018-04-14 09:00","4273.019","5",""
"2018-04-15 09:00","4314.193","5",""
"2018-04-16 09:00","3858.719","5",""
"2018-04-17 09:00","3847.754","5",""
"2018-04-18 09:00","3776.821","5",""
"2018-04-19 09:00","3530.497","5",""
"2018-04-20 09:00","3394.51","5",""
"2018-04-21 09:00","3122.537","5",""
"2018-04-22 09:00","3711.859","5",""
"2018-04-23 09:00","4087.067","5",""
"2018-04-24 09:00","4115.876","5",""
"2018-04-25 09:00","4367.394","5",""
"2018-04-26 09:00","4397.077","5",""
"2018-04-27 09:00","4379.256","5",""
"2018-04-28 09:00","3620.679","5",""
"2018-04-29 09:00","3462.21","5",""
"2018-04-30 09:00","3132.22","5",""
"2018-05-01 09:00","3021.624","5",""
"2018-05-02 09:00","2993.048","5",""
"2018-05-03 09:00","3026.398","5",""
"2018-05-04 09:00","2773.168","5",""
"2018-05-05 09:00","2389.679","5",""
"2018-05-06 09:00","2063.447","5",""
"2018-05-07 09:00","1948.24","5",""
"2018-05-09 09:00","2139.056","5",""
"2018-05-10 09:00","1918.905","5",""
"2018-05-11 09:00","1996.257","5",""
"2018-05-12 09:00","1755.523","5",""
"2018-05-13 09:00","1650.408","5",""
"2018-05-14 09:00","1696.137","5",""
"2018-05-15 09:00","1696.137","5",""
"2018-05-16 09:00","1640.662","5",""
"2018-05-17 09:00","1582.579","5",""
"2018-05-18 09:00","1762.163","5",""
"2018-05-19 09:00","2052.192","5",""
"2018-05-20 09:00","2052.192","5",""
"2018-05-21 09:00","2709.753","3",""
"2018-05-22 09:00","3229.744","3",""
"2018-05-23 09:00","3278.977","3",""
"2018-05-24 09:00","3298.757","3",""
"2018-05-25 09:00","3031.175","3",""
"2018-05-26 09:00","2714.127","3",""
"2018-05-27 09:00","2377.209","3",""
"2018-05-28 09:00","2150.483","5",""
"2018-05-29 09:00","2104.908","5",""
"2018-05-30 09:00","2135.252","5",""
"2018-05-31 09:00","2116.268","5",""
"2018-06-01 09:00","2131.45","5",""
"2018-06-02 09:00","2154.297","5",""
"2018-06-03 09:00","2307.031","3",""
"2018-06-04 09:00","2571.244","3",""
"2018-06-05 09:00","2745.606","3",""
"2018-06-06 09:00","2759.373","3",""
"2018-06-07 09:00","2782.38","3",""
"2018-06-08 09:00","3045.525","3",""
"2018-06-09 09:00","3210.139","3",""
"2018-06-10 09:00","2614.219","3",""
"2018-06-11 09:00","2123.854","5",""
"2018-06-12 09:00","2022.289","5",""
"2018-06-13 09:00","1897.011","5",""
"2018-06-14 09:00","1897.011","5",""
"2018-06-15 09:00","2177.233","5",""
"2018-06-16 09:00","2782.38","3",""
"2018-06-17 09:00","2893.933","3",""
"2018-06-18 09:00","3055.107","3",""
"2018-06-19 09:00","3288.861","3",""
"2018-06-20 09:00","2791.606","3",""
"2018-06-21 09:00","2274.295","3",""
"2018-06-22 09:00","1933.552","5",""
"2018-06-23 09:00","1796.064","5",""
"2018-06-24 09:00","1699.419","5",""
"2018-06-25 09:00","1634.175","5",""
